 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               4              43          0.5000;
     1    0.009              16              43          0.5000;
     2    0.018              49              43          0.5000;
     3    0.027             101              43          0.5000;
     4    0.035             172              43          0.5000;
     5    0.044             258              45          0.5000;
     6    0.053             354              47          0.5000;
     7    0.062             458              50          0.5000;
     8    0.071             564              54          0.5000;
     9    0.080             669              58          0.5000;
    10    0.089             771              63          0.5000;
    11    0.097             862              68          0.5000;
    12    0.106             943              73          0.5000;
    13    0.115            1009              78          0.5000;
    14    0.124            1059              81          0.5000;
    15    0.133            1090              83          0.5000;
    16    0.142            1103              83          0.5000;
    17    0.151            1099              84          0.5000;
    18    0.159            1077              84          0.5000;
    19    0.168            1039              84          0.5000;
    20    0.177             990              84          0.5000;
    21    0.186             929              84          0.5000;
    22    0.195             861              84          0.5000;
    23    0.204             788              82          0.5000;
    24    0.213             713              81          0.5000;
    25    0.221             639              80          0.5000;
    26    0.230             569              78          0.5000;
    27    0.239             505              77          0.5000;
    28    0.248             450              77          0.5000;
    29    0.257             406              76          0.5000;
    30    0.266             374              76          0.5000;
    31    0.274             357              76          0.5000;
    32    0.283             353              76          0.5000;
    33    0.292             363              76          0.5000;
    34    0.301             386              76          0.5000;
    35    0.310             418              76          0.5000;
    36    0.319             458              76          0.5000;
    37    0.328             505              76          0.5000;
    38    0.336             556              76          0.5000;
    39    0.345             609              76          0.5000;
    40    0.354             660              76          0.5000;
    41    0.363             709              77          0.5000;
    42    0.372             753              78          0.5000;
    43    0.381             792              80          0.5000;
    44    0.390             823              82          0.5000;
    45    0.398             844              84          0.5000;
    46    0.407             856              85          0.5000;
    47    0.416             858              85          0.5000;
    48    0.425             851              85          0.5000;
    49    0.434             835              86          0.5000;
    50    0.443             814              86          0.5000;
    51    0.452             789              86          0.5000;
    52    0.460             760              86          0.5000;
    53    0.469             730              86          0.5000;
    54    0.478             700              84          0.5000;
    55    0.487             671              83          0.5000;
    56    0.496             646              83          0.5000;
    57    0.505             623              83          0.5000;
    58    0.514             603              83          0.5000;
    59    0.522             588              83          0.5000;
    60    0.531             578              83          0.5000;
    61    0.540             572              82          0.5000;
    62    0.549             571              81          0.5000;
    63    0.558             575              81          0.5000;
    64    0.567             583              80          0.5000;
    65    0.576             594              80          0.5000;
    66    0.584             605              80          0.5000;
    67    0.593             618              80          0.5000;
    68    0.602             630              80          0.5000;
    69    0.611             641              80          0.5000;
    70    0.620             651              80          0.5000;
    71    0.629             660              81          0.5000;
    72    0.638             668              82          0.5000;
    73    0.646             673              83          0.5000;
    74    0.655             678              83          0.5000;
    75    0.664             681              83          0.5000;
    76    0.673             683              83          0.5000;
    77    0.682             684              83          0.5000;
    78    0.691             684              83          0.5000;
    79    0.699             684              83          0.5000;
    80    0.708             683              83          0.5000;
    81    0.717             683              81          0.5000;
    82    0.726             681              81          0.5000;
    83    0.735             681              80          0.5000;
    84    0.744             681              80          0.5000;
    85    0.753             681              79          0.5000;
    86    0.761             681              79          0.5000;
    87    0.770             681              79          0.5000;
    88    0.779             681              79          0.5000;
    89    0.788             681              79          0.5000;
    90    0.797             681              79          0.5000;
    91    0.806             681              79          0.5000;
    92    0.815             681              79          0.5000;
    93    0.823             681              79          0.5000;
    94    0.832             681              78          0.5000;
    95    0.841             681              78          0.5000;
    96    0.850             681              78          0.5000;
    97    0.859             681              78          0.5000;
