 Sample   Time     Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0          0.5000;
     1    0.009               9               0          0.5000;
     2    0.018              37               2          0.5000;
     3    0.027              72              13          0.5000;
     4    0.035             109              41          0.5000;
     5    0.044             144              84          0.5000;
     6    0.053             179             135          0.5000;
     7    0.062             217             189          0.5000;
     8    0.071             263             239          0.5000;
     9    0.080             316             281          0.5000;
    10    0.089             371             320          0.5000;
    11    0.097             423             358          0.5000;
    12    0.106             466             398          0.5000;
    13    0.115             499             440          0.5000;
    14    0.124             524             483          0.5000;
    15    0.133             545             518          0.5000;
    16    0.142             567             544          0.5000;
    17    0.151             589             558          0.5000;
    18    0.159             609             563          0.5000;
    19    0.168             623             565          0.5000;
    20    0.177             627             565          0.5000;
    21    0.186             622             566          0.5000;
    22    0.195             609             566          0.5000;
    23    0.204             594             562          0.5000;
    24    0.213             582             550          0.5000;
    25    0.221             571             534          0.5000;
    26    0.230             561             515          0.5000;
    27    0.239             550             496          0.5000;
    28    0.248             534             479          0.5000;
    29    0.257             516             464          0.5000;
    30    0.266             497             452          0.5000;
    31    0.274             478             440          0.5000;
    32    0.283             462             425          0.5000;
    33    0.292             449             408          0.5000;
    34    0.301             441             390          0.5000;
    35    0.310             432             374          0.5000;
    36    0.319             423             363          0.5000;
    37    0.328             413             357          0.5000;
    38    0.336             403             355          0.5000;
    39    0.345             397             354          0.5000;
    40    0.354             395             353          0.5000;
    41    0.363             397             352          0.5000;
    42    0.372             403             352          0.5000;
    43    0.381             408             353          0.5000;
    44    0.390             412             357          0.5000;
    45    0.398             414             362          0.5000;
    46    0.407             415             367          0.5000;
    47    0.416             416             369          0.5000;
    48    0.425             416             370          0.5000;
    49    0.434             418             370          0.5000;
    50    0.443             418             368          0.5000;
    51    0.452             418             368          0.5000;
    52    0.460             418             368          0.5000;
    53    0.469             418             368          0.5000;
    54    0.478             418             368          0.5000;
    55    0.487             418             368          0.5000;
    56    0.496             418             368          0.5000;
    57    0.505             418             368          0.5000;
    58    0.514             418             368          0.5000;
    59    0.522             418             368          0.5000;
    60    0.531             418             368          0.5000;
    61    0.540             418             368          0.5000;
    62    0.549             418             368          0.5000;
    63    0.558             418             368          0.5000;
    64    0.567             418             368          0.5000;
    65    0.576             418             368          0.5000;
    66    0.584             418             368          0.5000;
    67    0.593             418             368          0.5000;
    68    0.602             418             368          0.5000;
    69    0.611             418             368          0.5000;
    70    0.620             418             368          0.5000;
    71    0.629             418             368          0.5000;
    72    0.638             418             368          0.5000;
    73    0.646             418             368          0.5000;
    74    0.655             418             368          0.5000;
    75    0.664             418             368          0.5000;
    76    0.673             418             368          0.5000;
    77    0.682             418             368          0.5000;
    78    0.691             418             368          0.5000;
    79    0.699             418             368          0.5000;
    80    0.708             418             368          0.5000;
    81    0.717             418             368          0.5000;
    82    0.726             418             368          0.5000;
    83    0.735             418             368          0.5000;
    84    0.744             418             368          0.5000;
    85    0.753             418             368          0.5000;
    86    0.761             418             368          0.5000;
    87    0.770             418             368          0.5000;
    88    0.779             418             368          0.5000;
    89    0.788             418             368          0.5000;
    90    0.797             418             368          0.5000;
    91    0.806             418             368          0.5000;
    92    0.815             418             368          0.5000;
    93    0.823             418             368          0.5000;
    94    0.832             418             368          0.5000;
    95    0.841             418             368          0.5000;
    96    0.850             418             368          0.5000;
    97    0.859             418             368          0.5000;
    98    0.868             418             368          0.5000;
    99    0.877             418             368          0.5000;
   100    0.885             418             368          0.5000;
   101    0.894             418             368          0.5000;
   102    0.903             418             368          0.5000;
   103    0.912             418             368          0.5000;
   104    0.921             418             368          0.5000;
   105    0.930             418             368          0.5000;
   106    0.939             418             368          0.5000;
   107    0.947             418             368          0.5000;
   108    0.956             418             368          0.5000;
   109    0.965             418             368          0.5000;
   110    0.974             418             368          0.5000;
   111    0.983             418             368          0.5000;
   112    0.992             418             368          0.5000;
   113    1.001             418             368          0.5000;
   114    1.009             418             368          0.5000;
   115    1.018             418             368          0.5000;
   116    1.027             418             368          0.5000;
   117    1.036             418             368          0.5000;
   118    1.045             418             368          0.5000;
   119    1.054             418             368          0.5000;
   120    1.063             418             368          0.5000;
   121    1.071             418             368          0.5000;
   122    1.080             418             368          0.5000;
   123    1.089             418             368          0.5000;
   124    1.098             418             368          0.5000;
   125    1.107             418             368          0.5000;
   126    1.116             418             368          0.5000;
   127    1.124             418             368          0.5000;
   128    1.133             418             368          0.5000;
   129    1.142             418             368          0.5000;
   130    1.151             418             368          0.5000;
   131    1.160             418             368          0.5000;
   132    1.169             418             368          0.5000;
   133    1.178             418             368          0.5000;
   134    1.186             418             368          0.5000;
   135    1.195             418             368          0.5000;
   136    1.204             418             368          0.5000;
   137    1.213             418             368          0.5000;
   138    1.222             418             368          0.5000;
   139    1.231             418             368          0.5000;
   140    1.240             418             368          0.5000;
   141    1.248             418             368          0.5000;
   142    1.257             418             368          0.5000;
   143    1.266             418             368          0.5000;
   144    1.275             418             368          0.5000;
   145    1.284             418             368          0.5000;
   146    1.293             418             368          0.5000;
   147    1.302             418             368          0.5000;
   148    1.310             418             368          0.5000;
   149    1.319             418             368          0.5000;
   150    1.328             418             368          0.5000;
   151    1.337             418             368          0.5000;
   152    1.346             418             368          0.5000;
   153    1.355             418             368          0.5000;
   154    1.364             418             368          0.5000;
   155    1.372             418             368          0.5000;
   156    1.381             418             368          0.5000;
   157    1.390             418             368          0.5000;
   158    1.399             418             368          0.5000;
   159    1.408             418             368          0.5000;
   160    1.417             418             368          0.5000;
   161    1.426             418             368          0.5000;
   162    1.434             418             368          0.5000;
   163    1.443             418             368          0.5000;
   164    1.452             418             368          0.5000;
   165    1.461             418             368          0.5000;
   166    1.470             418             368          0.5000;
   167    1.479             418             368          0.5000;
   168    1.488             418             368          0.5000;
   169    1.496             418             368          0.5000;
   170    1.505             418             368          0.5000;
   171    1.514             418             368          0.5000;
   172    1.523             418             368          0.5000;
   173    1.532             418             368          0.5000;
   174    1.541             418             368          0.5000;
   175    1.549             418             368          0.5000;
   176    1.558             418             368          0.5000;
   177    1.567             418             368          0.5000;
   178    1.576             418             368          0.5000;
   179    1.585             418             368          0.5000;
   180    1.594             418             368          0.5000;
   181    1.603             418             368          0.5000;
   182    1.611             418             368          0.5000;
   183    1.620             418             368          0.5000;
   184    1.629             418             368          0.5000;
   185    1.638             418             368          0.5000;
   186    1.647             418             368          0.5000;
   187    1.656             418             368          0.5000;
   188    1.665             418             368          0.5000;
   189    1.673             418             368          0.5000;
   190    1.682             418             368          0.5000;
   191    1.691             418             368          0.5000;
   192    1.700             418             368          0.5000;
   193    1.709             418             368          0.5000;
   194    1.718             418             368          0.5000;
   195    1.727             418             368          0.5000;
   196    1.735             418             368          0.5000;
   197    1.744             418             368          0.5000;
   198    1.753             418             368          0.5000;
   199    1.762             418             368          0.5000;
   200    1.771             418             368          0.5000;
   201    1.780             418             368          0.5000;
   202    1.789             418             368          0.5000;
   203    1.797             418             368          0.5000;
   204    1.806             418             368          0.5000;
   205    1.815             418             368          0.5000;
   206    1.824             418             368          0.5000;
   207    1.833             418             368          0.5000;
   208    1.842             418             368          0.5000;
   209    1.851             418             368          0.5000;
