SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,4.5000E+01,3.1200E+03,6.6857E-01,-4.2051E-01,5.0695E-03,1.0050E-02,0.0000E+00,4.0000E+00,7.0002E-03,-1.3779E-02,-2.5089E-03,1.8235E-03
1,6.0000E+01,3.1200E+03,4.6037E-01,-4.6427E-01,5.7746E-03,1.7891E-02,0.0000E+00,4.0000E+00,8.4752E-03,-1.3779E-02,-2.5089E-03,1.8235E-03
2,6.0000E+01,3.1350E+03,5.6012E-01,-5.0229E-01,5.6701E-03,1.8057E-02,0.0000E+00,4.0000E+00,8.1332E-03,-1.3779E-02,-2.5089E-03,1.8235E-03
3,3.7500E+02,1.9050E+03,1.8324E+00,-2.8885E+01,4.8871E-03,1.4465E-02,0.0000E+00,4.0000E+00,6.2169E-03,0.0000E+00,0.0000E+00,0.0000E+00
4,4.0500E+02,1.9950E+03,1.4978E+00,-2.6620E+01,3.8566E-03,1.4903E-02,0.0000E+00,4.0000E+00,5.6302E-03,0.0000E+00,0.0000E+00,0.0000E+00
5,5.2500E+02,2.0100E+03,1.4891E-01,-2.6124E+01,4.5487E-03,1.1665E-02,0.0000E+00,4.0000E+00,7.6071E-03,0.0000E+00,0.0000E+00,0.0000E+00
6,5.4000E+02,2.0100E+03,5.0257E-02,-2.6134E+01,4.7982E-03,8.7377E-03,0.0000E+00,4.0000E+00,8.2218E-03,0.0000E+00,0.0000E+00,0.0000E+00
7,5.5500E+02,1.9650E+03,-1.8934E-01,-2.7200E+01,4.1037E-03,1.3078E-02,0.0000E+00,4.0000E+00,6.1570E-03,0.0000E+00,0.0000E+00,0.0000E+00
8,1.0200E+03,3.0300E+03,-1.6649E-02,-2.7584E-01,4.9746E-03,6.0066E-02,0.0000E+00,4.0000E+00,7.9963E-03,4.8539E-02,1.0665E-04,1.0036E-02
9,1.0200E+03,3.0450E+03,3.6540E-01,-2.7754E-01,7.1598E-03,4.6090E-02,0.0000E+00,4.0000E+00,1.0069E-02,6.3136E-02,-2.7504E-03,2.7550E-03
10,1.0200E+03,3.0600E+03,-1.1996E-01,-3.5528E-01,7.0725E-03,5.4421E-02,0.0000E+00,4.0000E+00,1.0217E-02,6.7148E-02,-5.4095E-03,-4.6219E-03
11,1.0350E+03,3.0600E+03,1.2142E+00,-3.6323E-01,1.2156E-02,2.7551E-02,0.0000E+00,4.0000E+00,2.1153E-02,3.1779E-02,-4.9622E-04,-6.7185E-03
12,1.0350E+03,3.0450E+03,9.8218E-01,-2.7717E-01,1.1755E-02,2.6641E-02,0.0000E+00,4.0000E+00,2.1665E-02,3.6509E-02,-2.4662E-03,1.2270E-03
13,1.0350E+03,3.0300E+03,7.8903E-01,-2.7655E-01,7.2179E-03,3.4320E-02,0.0000E+00,4.0000E+00,1.1096E-02,3.4279E-02,4.9298E-04,5.9099E-03
14,1.0500E+03,3.0300E+03,1.2197E+00,-2.8243E-01,7.0520E-03,2.6530E-02,0.0000E+00,4.0000E+00,1.2086E-02,1.5257E-02,9.6560E-04,1.2739E-03
15,1.0500E+03,3.0450E+03,1.1517E+00,-2.6080E-01,1.1764E-02,2.5851E-02,0.0000E+00,4.0000E+00,2.3274E-02,9.7533E-03,-1.9247E-03,1.3948E-03
16,1.0500E+03,3.0600E+03,1.0853E+00,-3.3874E-01,1.0643E-02,3.1530E-02,0.0000E+00,4.0000E+00,1.7189E-02,-5.2475E-04,9.8388E-04,-7.0178E-03
17,1.0500E+03,3.0750E+03,7.8457E-01,-2.1611E-01,8.1674E-03,1.5452E-02,0.0000E+00,4.0000E+00,1.3856E-02,-1.0683E-02,4.3327E-03,-7.3027E-03
18,1.0500E+03,3.0900E+03,7.4630E-01,-2.0098E-01,8.4759E-03,1.8585E-02,0.0000E+00,4.0000E+00,1.5046E-02,-2.4094E-02,5.5545E-04,5.4972E-04
19,1.0650E+03,3.0900E+03,3.9957E-01,-1.7270E-01,5.6354E-03,1.4224E-02,0.0000E+00,4.0000E+00,8.1921E-03,-2.4094E-02,5.5545E-04,5.4972E-04
20,1.0650E+03,3.0750E+03,3.9946E-01,-1.7421E-01,6.0890E-03,1.5589E-02,0.0000E+00,4.0000E+00,8.7616E-03,-1.4072E-02,4.3067E-03,-7.7783E-03
21,1.0650E+03,3.0600E+03,1.1792E+00,-2.8240E-01,1.1177E-02,3.4411E-02,0.0000E+00,4.0000E+00,1.6968E-02,-3.0103E-03,1.8947E-03,-9.1496E-03
22,1.0650E+03,3.0450E+03,1.3071E+00,-2.2958E-01,1.1537E-02,2.7973E-02,0.0000E+00,4.0000E+00,2.1172E-02,8.9807E-03,-1.4301E-03,-1.4466E-03
23,1.0650E+03,3.0300E+03,1.3726E+00,-2.5195E-01,6.1354E-03,2.3925E-02,0.0000E+00,4.0000E+00,1.0354E-02,1.0331E-02,1.4779E-03,-1.2197E-03
