SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY,VSG_STRAIN_XX,VSG_STRAIN_YY,VSG_STRAIN_XY
0,3.0000E+01,2.4150E+03,3.2089E+00,-7.7298E+00,7.6149E-03,4.1291E-02,0.0000E+00,4.0000E+00,9.5720E-03,-1.7609E-02,6.7499E-04,1.1556E-03
1,3.0000E+01,2.4300E+03,3.2003E+00,-7.7237E+00,8.0305E-03,8.8614E-03,0.0000E+00,4.0000E+00,1.0125E-02,-1.7609E-02,6.7499E-04,1.1556E-03
2,4.5000E+01,2.4300E+03,2.9200E+00,-7.6631E+00,8.3293E-03,9.1339E-03,0.0000E+00,4.0000E+00,1.0509E-02,7.8689E-03,4.9009E-04,-4.5363E-04
3,4.5000E+01,2.4150E+03,2.9560E+00,-7.6772E+00,8.3369E-03,4.5550E-02,0.0000E+00,4.0000E+00,1.0556E-02,7.8689E-03,4.9009E-04,-4.5363E-04
4,6.0000E+01,2.4150E+03,3.4994E+00,-7.6445E+00,8.7899E-03,3.7362E-02,0.0000E+00,4.0000E+00,1.1048E-02,7.9613E-03,2.9034E-04,-3.9980E-03
5,6.0000E+01,2.4300E+03,3.3799E+00,-7.6429E+00,9.5638E-03,8.3056E-03,0.0000E+00,4.0000E+00,1.2035E-02,5.3526E-03,-3.2951E-03,-9.6636E-03
6,6.0000E+01,2.4450E+03,1.4194E+00,-8.0990E+00,-1.0000E+00,-1.0000E+00,-1.0000E+00,1.1000E+01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00
7,7.5000E+01,2.4450E+03,2.6789E+00,-7.8269E+00,1.1317E-02,1.8582E-02,0.0000E+00,4.0000E+00,1.5482E-02,-1.3720E-02,-9.0608E-03,-8.0339E-03
8,7.5000E+01,2.4300E+03,3.0827E+00,-7.6823E+00,1.0051E-02,9.2881E-03,0.0000E+00,4.0000E+00,1.2758E-02,-1.8692E-02,-4.4393E-03,-5.3916E-03
9,7.5000E+01,2.4150E+03,3.2690E+00,-7.6784E+00,8.1165E-03,3.1711E-02,0.0000E+00,4.0000E+00,1.0238E-02,-2.1992E-02,-5.3284E-04,-3.9700E-03
10,9.0000E+01,2.4150E+03,2.7633E+00,-7.6832E+00,8.4640E-03,4.1513E-02,0.0000E+00,4.0000E+00,1.0832E-02,-2.9329E-02,-1.0088E-03,1.6100E-03
11,9.0000E+01,2.4300E+03,2.7816E+00,-7.7058E+00,1.1168E-02,1.2733E-02,0.0000E+00,4.0000E+00,1.4109E-02,-2.0833E-02,-4.4192E-03,-4.3306E-05
12,9.0000E+01,2.4450E+03,2.8392E+00,-7.8290E+00,1.2051E-02,2.0979E-02,0.0000E+00,4.0000E+00,1.6009E-02,-1.2462E-02,-7.8020E-03,-1.9387E-03
13,1.0500E+02,2.4450E+03,2.5703E+00,-7.7719E+00,1.0011E-02,3.1366E-02,0.0000E+00,4.0000E+00,1.3235E-02,-2.0177E-02,-6.9033E-03,4.3465E-03
14,1.0500E+02,2.4300E+03,2.4389E+00,-7.6867E+00,1.0671E-02,2.1177E-02,0.0000E+00,4.0000E+00,1.3411E-02,-2.7355E-02,-4.1235E-03,5.2266E-03
15,1.0500E+02,2.4150E+03,2.1266E+00,-7.6675E+00,7.4537E-03,9.3248E-02,0.0000E+00,4.0000E+00,9.6261E-03,-3.2114E-02,-1.3304E-03,5.9093E-03
16,2.4000E+02,3.0000E+01,2.6850E+00,-1.6000E+01,4.7966E-03,2.6001E-02,0.0000E+00,4.0000E+00,6.9522E-03,-2.3182E-03,2.4682E-03,1.3502E-03
17,2.4000E+02,4.5000E+01,2.7791E+00,-1.5975E+01,4.7307E-03,3.0553E-02,0.0000E+00,4.0000E+00,6.9124E-03,-2.1392E-03,5.8929E-03,1.3005E-03
18,2.4000E+02,6.0000E+01,2.8997E+00,-1.5812E+01,4.3939E-03,2.8689E-02,0.0000E+00,4.0000E+00,6.4327E-03,-1.7148E-03,6.7673E-03,7.6585E-04
19,2.4000E+02,7.5000E+01,2.9649E+00,-1.5761E+01,4.3518E-03,1.8511E-02,0.0000E+00,4.0000E+00,6.3546E-03,-2.0004E-03,3.5346E-03,7.5731E-04
20,2.4000E+02,9.0000E+01,3.0856E+00,-1.5739E+01,5.5720E-03,1.8465E-02,0.0000E+00,4.0000E+00,8.3932E-03,-2.5850E-03,5.4602E-03,1.7344E-03
21,2.4000E+02,1.0500E+02,3.2487E+00,-1.5565E+01,5.8955E-03,1.8070E-02,0.0000E+00,4.0000E+00,9.0424E-03,-2.4113E-03,4.8133E-03,8.4100E-04
22,2.4000E+02,1.2000E+02,3.2991E+00,-1.5566E+01,4.3748E-03,2.4657E-02,0.0000E+00,4.0000E+00,6.6684E-03,-1.1058E-03,3.0869E-03,-1.0747E-03
23,2.4000E+02,1.3500E+02,3.3456E+00,-1.5511E+01,5.1587E-03,2.8186E-02,0.0000E+00,4.0000E+00,7.8693E-03,-1.0172E-04,5.4192E-03,9.2488E-04
24,2.4000E+02,1.5000E+02,3.4789E+00,-1.5432E+01,4.6556E-03,2.5080E-02,0.0000E+00,4.0000E+00,6.9371E-03,-1.7178E-04,3.7613E-03,2.0564E-03
25,2.4000E+02,1.6500E+02,3.5531E+00,-1.5430E+01,4.1955E-03,2.4487E-02,0.0000E+00,4.0000E+00,6.1436E-03,-7.9293E-04,2.7384E-03,1.9655E-03
26,2.4000E+02,1.8000E+02,3.6222E+00,-1.5369E+01,4.6257E-03,2.3023E-02,0.0000E+00,4.0000E+00,6.9070E-03,-2.0850E-03,6.2657E-03,1.8276E-03
27,2.4000E+02,1.9500E+02,3.7108E+00,-1.5226E+01,4.7196E-03,1.9436E-02,0.0000E+00,4.0000E+00,6.8200E-03,-2.3148E-03,5.6001E-03,1.1296E-03
28,2.4000E+02,2.1000E+02,3.7194E+00,-1.5202E+01,5.1946E-03,2.2749E-02,0.0000E+00,4.0000E+00,7.4240E-03,-2.2752E-03,4.6134E-03,-1.0614E-04
29,2.4000E+02,2.2500E+02,3.7273E+00,-1.5084E+01,5.2569E-03,2.5733E-02,0.0000E+00,4.0000E+00,7.8225E-03,-8.5965E-04,6.5791E-03,2.9223E-05
30,2.4000E+02,2.4000E+02,3.7413E+00,-1.5000E+01,4.4243E-03,2.0607E-02,0.0000E+00,4.0000E+00,6.6333E-03,-8.0263E-04,5.4487E-03,-1.9488E-04
31,2.4000E+02,2.5500E+02,3.7474E+00,-1.4950E+01,5.0717E-03,1.9461E-02,0.0000E+00,4.0000E+00,7.4637E-03,-1.6534E-03,4.5877E-03,1.2962E-04
32,2.4000E+02,2.7000E+02,3.7629E+00,-1.4870E+01,4.7570E-03,1.5888E-02,0.0000E+00,4.0000E+00,6.9621E-03,-2.3569E-03,4.2315E-03,2.0181E-04
33,2.4000E+02,2.8500E+02,3.7417E+00,-1.4822E+01,4.0458E-03,1.6514E-02,0.0000E+00,4.0000E+00,5.8959E-03,-2.1661E-03,4.8233E-03,-1.1278E-03
34,2.4000E+02,3.0000E+02,3.6627E+00,-1.4725E+01,4.4501E-03,1.9534E-02,0.0000E+00,4.0000E+00,6.8038E-03,-1.6597E-03,5.8365E-03,-1.5950E-03
35,2.4000E+02,3.1500E+02,3.6141E+00,-1.4653E+01,4.7525E-03,1.9097E-02,0.0000E+00,4.0000E+00,7.3767E-03,-1.3289E-03,6.2992E-03,-1.4873E-03
36,2.4000E+02,3.3000E+02,3.5482E+00,-1.4540E+01,5.0855E-03,1.6623E-02,0.0000E+00,4.0000E+00,7.8113E-03,-1.3383E-03,6.3508E-03,-1.0991E-03
37,2.4000E+02,3.4500E+02,3.4919E+00,-1.4473E+01,4.9070E-03,1.6195E-02,0.0000E+00,4.0000E+00,7.3363E-03,-9.2473E-04,3.9733E-03,-1.3699E-03
38,2.4000E+02,3.6000E+02,3.4092E+00,-1.4426E+01,4.2565E-03,1.9904E-02,0.0000E+00,4.0000E+00,5.9877E-03,-1.4109E-03,4.1193E-03,-1.8489E-03
39,2.4000E+02,3.7500E+02,3.3341E+00,-1.4341E+01,3.8860E-03,2.2083E-02,0.0000E+00,4.0000E+00,5.5464E-03,-2.7939E-04,5.8196E-03,-3.2605E-03
40,2.4000E+02,3.9000E+02,3.1413E+00,-1.4259E+01,4.1320E-03,1.7229E-02,0.0000E+00,4.0000E+00,6.1368E-03,-9.9443E-05,5.0261E-03,-3.1187E-03
41,2.4000E+02,4.0500E+02,3.0670E+00,-1.4195E+01,4.4389E-03,1.7716E-02,0.0000E+00,4.0000E+00,6.4535E-03,1.0504E-03,4.8820E-03,-2.5390E-03
42,2.4000E+02,4.2000E+02,2.9298E+00,-1.4119E+01,5.1279E-03,2.4502E-02,0.0000E+00,4.0000E+00,7.1684E-03,5.4968E-04,4.9371E-03,-3.0227E-03
43,2.4000E+02,4.3500E+02,2.8006E+00,-1.4056E+01,4.2431E-03,2.3841E-02,0.0000E+00,4.0000E+00,6.0262E-03,2.7741E-04,4.6984E-03,-1.5099E-03
44,2.4000E+02,4.5000E+02,2.7537E+00,-1.3984E+01,4.7780E-03,3.1753E-02,0.0000E+00,4.0000E+00,6.8640E-03,-7.7090E-04,5.4566E-03,-5.9549E-04
45,2.4000E+02,4.6500E+02,2.6913E+00,-1.3893E+01,5.4252E-03,3.0423E-02,0.0000E+00,4.0000E+00,7.8798E-03,-1.1603E-03,7.3917E-03,-2.0432E-03
46,2.4000E+02,4.8000E+02,2.5345E+00,-1.3757E+01,4.3249E-03,2.6284E-02,0.0000E+00,4.0000E+00,6.3653E-03,-5.3907E-04,6.0522E-03,-2.5715E-03
47,2.4000E+02,4.9500E+02,2.4236E+00,-1.3711E+01,4.1664E-03,2.3485E-02,0.0000E+00,4.0000E+00,6.0011E-03,-3.7659E-04,3.8742E-03,-1.9519E-03
