Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0003"
"1.0000","0.0319","0.0242"
"2.0000","0.0652","0.0485"
"3.0000","0.0985","0.0723"
"4.0000","0.1319","0.0959"
"5.0000","0.1653","0.1190"
"6.0000","0.1986","0.1421"
"7.0000","0.2320","0.1650"
"8.0000","0.2653","0.1876"
"9.0000","0.2987","0.2099"
"10.0000","0.3321","0.2324"
"11.0000","0.3653","0.2542"
"12.0000","0.3987","0.2760"
"13.0000","0.4320","0.2977"
"14.0000","0.4653","0.3192"
"15.0000","0.4988","0.3407"
"16.0000","0.5320","0.3617"
"17.0000","0.5654","0.3829"
"18.0000","0.5987","0.4038"
"19.0000","0.6320","0.4245"
"20.0000","0.6654","0.4451"
"21.0000","0.6985","0.4654"
"22.0000","0.7318","0.4858"
"23.0000","0.7653","0.5061"
"24.0000","0.7985","0.5260"
"25.0000","0.8320","0.5459"
"26.0000","0.8653","0.5658"
"27.0000","0.8986","0.5854"
"28.0000","0.9319","0.6049"
"29.0000","0.9652","0.6241"
"30.0000","0.9985","0.6431"
"31.0000","1.0319","0.6623"
"32.0000","1.0652","0.6809"
"33.0000","1.0986","0.6995"
"34.0000","1.1321","0.7183"
"35.0000","1.1653","0.7364"
"36.0000","1.1986","0.7546"
"37.0000","1.2320","0.7727"
"38.0000","1.2653","0.7904"
"39.0000","1.2987","0.8083"
"40.0000","1.3320","0.8257"
"41.0000","1.3653","0.8431"
"42.0000","1.3987","0.8602"
"43.0000","1.4321","0.8773"
"44.0000","1.4654","0.8939"
"45.0000","1.4987","0.9106"
"46.0000","1.5320","0.9272"
"47.0000","1.5653","0.9435"
"48.0000","1.5986","0.9595"
"49.0000","1.6318","0.9754"
"50.0000","1.6653","0.9912"
"51.0000","1.6985","1.0067"
"52.0000","1.7318","1.0221"
"53.0000","1.7654","1.0374"
"54.0000","1.7986","1.0523"
"55.0000","1.8319","1.0672"
"56.0000","1.8652","1.0818"
"57.0000","1.8985","1.0961"
"58.0000","1.9320","1.1105"
"59.0000","1.9652","1.1243"
"60.0000","1.9986","1.1382"
"61.0000","2.0321","1.1518"
"62.0000","2.0653","1.1651"
"63.0000","2.0987","1.1784"
"64.0000","2.1320","1.1915"
"65.0000","2.1653","1.2042"
"66.0000","2.1987","1.2169"
"67.0000","2.2320","1.2292"
"68.0000","2.2653","1.2411"
"69.0000","2.2987","1.2530"
"70.0000","2.3321","1.2644"
"71.0000","2.3653","1.2756"
"72.0000","2.3987","1.2869"
"73.0000","2.4320","1.2979"
"74.0000","2.4653","1.3086"
"75.0000","2.4986","1.3192"
"76.0000","2.5319","1.3296"
"77.0000","2.5654","1.3401"
"78.0000","2.5984","1.3500"
"79.0000","2.6319","1.3600"
"80.0000","2.6653","1.3699"
"81.0000","2.6986","1.3795"
"82.0000","2.7319","1.3889"
"83.0000","2.7652","1.3981"
"84.0000","2.7985","1.4072"
"85.0000","2.8320","1.4161"
"86.0000","2.8653","1.4249"
"87.0000","2.8986","1.4335"
"88.0000","2.9321","1.4419"
"89.0000","2.9653","1.4502"
"90.0000","2.9987","1.4583"
"91.0000","3.0320","1.4662"
"92.0000","3.0653","1.4739"
"93.0000","3.0987","1.4814"
"94.0000","3.1320","1.4889"
"95.0000","3.1653","1.4962"
"96.0000","3.1988","1.5035"
"97.0000","3.2320","1.5103"
"98.0000","3.2653","1.5171"
"99.0000","3.2987","1.5237"
"100.0000","3.3320","1.5302"
"101.0000","3.3653","1.5366"
"102.0000","3.3985","1.5428"
"103.0000","3.4319","1.5489"
"104.0000","3.4653","1.5550"
"105.0000","3.4985","1.5606"
"106.0000","3.5319","1.5664"
"107.0000","3.5653","1.5719"
"108.0000","3.5986","1.5772"
"109.0000","3.6319","1.5826"
"110.0000","3.6653","1.5876"
"111.0000","3.6985","1.5927"
"112.0000","3.7319","1.5976"
"113.0000","3.7652","1.6023"
"114.0000","3.7986","1.6069"
"115.0000","3.8321","1.6115"
"116.0000","3.8653","1.6158"
"117.0000","3.8986","1.6200"
"118.0000","3.9320","1.6241"
"119.0000","3.9653","1.6281"
"120.0000","3.9987","1.6319"
"121.0000","4.0319","1.6356"
"122.0000","4.0653","1.6392"
"123.0000","4.0988","1.6428"
"124.0000","4.1321","1.6461"
"125.0000","4.1654","1.6494"
"126.0000","4.1987","1.6526"
"127.0000","4.2320","1.6556"
"128.0000","4.2653","1.6584"
"129.0000","4.2986","1.6613"
"130.0000","4.3318","1.6640"
"131.0000","4.3653","1.6667"
"132.0000","4.3985","1.6691"
"133.0000","4.4319","1.6715"
"134.0000","4.4654","1.6740"
"135.0000","4.4985","1.6760"
"136.0000","4.5319","1.6781"
"137.0000","4.5653","1.6801"
"138.0000","4.5985","1.6820"
"139.0000","4.6320","1.6840"
"140.0000","4.6652","1.6855"
"141.0000","4.6986","1.6870"
"142.0000","4.7321","1.6886"
"143.0000","4.7654","1.6899"
"144.0000","4.7988","1.6913"
"145.0000","4.8320","1.6923"
"146.0000","4.8654","1.6935"
"147.0000","4.8987","1.6945"
"148.0000","4.9320","1.6953"
"149.0000","4.9653","1.6960"
"150.0000","4.9987","1.6967"
"151.0000","5.0321","1.6973"
"152.0000","5.0654","1.6978"
"153.0000","5.0987","1.6981"
"154.0000","5.1320","1.6983"
"155.0000","5.1653","1.6984"
"156.0000","5.1985","1.6983"
"157.0000","5.2319","1.6981"
"158.0000","5.2653","1.6981"
"159.0000","5.2985","1.6976"
"160.0000","5.3319","1.6975"
"161.0000","5.3653","1.6969"
"162.0000","5.3986","1.6962"
"163.0000","5.4320","1.6953"
"164.0000","5.4651","1.6945"
"165.0000","5.4985","1.6937"
"166.0000","5.5320","1.6926"
"167.0000","5.5653","1.6915"
"168.0000","5.5986","1.6902"
"169.0000","5.6320","1.6890"
"170.0000","5.6653","1.6875"
"171.0000","5.6986","1.6860"
"172.0000","5.7321","1.6844"
"173.0000","5.7653","1.6826"
"174.0000","5.7987","1.6808"
"175.0000","5.8320","1.6790"
"176.0000","5.8654","1.6769"
"177.0000","5.8988","1.6749"
"178.0000","5.9320","1.6726"
"179.0000","5.9653","1.6705"
"180.0000","5.9987","1.6682"
